event_id,date,days_to_show,artist,venue,min_price,max_price,total_postings,total_tickets,city,state,ticket_vendor,face_value,sold_out,sk_artist_id,days_to_show,num_blogs,num_news,num_reviews,discovery,familiarity,hotttnesss,num_years_active,FV_delta,maxPrice_FV_delta,FV_delta_log
9509251,2016-06-21T20:00:00-0500,100,Gordon Lightfoot,ACL Live at The Moody Theater,137.82,273.9,26,69,Austin,TX,Ticketfly,29,0,496846,100,782,157,25,0.360905312,0.657622,0.55747,58,108.82,244.9,4.689695141
9510028,2016-04-08T20:00:00-0500,26,Lissie,Emos,67.05,54.72,2,8,Austin,TX,Front Gate Tickets,20,0,582389,26,1133,222,29,0.437373863,0.564642,0.578523,10,47.05,34.72,3.851210866
9510157,2016-04-22T20:00:00-0500,40,Jonny Lang,ACL Live at The Moody Theater,75.66,207.9,26,82,Austin,TX,Ticketfly,29,0,1053,40,433,131,20,0.386463844,0.608358,0.548194,21,46.66,178.9,3.842887267
9511022,2016-07-23T19:30:00-0500,132,Brand New and Modest Mouse,Austin360 Amphitheater,44.93,5495,276,967,Austin,TX,Ticketmaster,25,0,535518,132,5540,1275,237,0.317974809,0.773091,0.626792,24,19.93,5470,2.992226134
9511109,2016-05-13T20:00:00-0500,61,J Boog,The Parish,99.98,80.28,1,8,Austin,TX,Front Gate Tickets,15,0,1077783,61,204,10,0,0.485629214,0.462673,0.553162,10,84.98,65.28,4.442415935
9511298,2016-04-18T18:00:00-0500,36,The Summer Set,The Sidewinder,76.49,62.7,1,6,Austin,TX,Ticketfly,17,0,912614,36,599,273,8,0.463310478,0.520261,0.573158,9,59.49,45.7,4.085808231
9519290,2016-05-21T20:00:00-0500,69,Lucius,Emos,38.3,79.35,10,48,Austin,TX,Front Gate Tickets,20,0,598452,69,1428,280,8,0.443801339,0.534077,0.560377,5,18.3,59.35,2.90690106
9522704,2016-05-07T20:00:00-0500,55,Gipsy Kings,ACL Live at The Moody Theater,106.34,334,13,44,Austin,TX,Ticketfly,51.5,0,178419,55,360,67,9,0.389381198,0.629954,0.5728,38,54.84,282.5,4.004419855
9527117,2016-06-18T20:00:00-0500,97,Bruce Robison and Kelly Willis with John Fullbright,ACL Live at The Moody Theater,78.02,99,11,35,Austin,TX,Ticketfly,29,0,5361118,97,167,38,16,0.429638816,0.452299,0.482341,26,49.02,70,3.892228378
9529588,2016-04-09T20:00:00-0500,27,Widespread Panic,ACL Live at The Moody Theater,127.96,350,77,250,Austin,TX,Ticketfly,49,0,377326,27,1205,1424,24,0.375934436,0.641616,0.564333,30,78.96,301,4.368941395
9529670,2016-04-08T20:00:00-0500,26,Widespread Panic,ACL Live at The Moody Theater,142.07,999,51,180,Austin,TX,Ticketfly,49,0,377326,26,1205,1424,24,0.375934436,0.641616,0.564333,30,93.07,950,4.533351898
9529671,2016-04-10T20:00:00-0500,28,Widespread Panic,ACL Live at The Moody Theater,93.75,1000,61,209,Austin,TX,Ticketfly,49,0,377326,28,1205,1424,24,0.375934436,0.641616,0.564333,30,44.75,951,3.801091445
9531488,2016-06-23T20:00:00-0500,102,John Carpenter,ACL Live at The Moody Theater,153.93,343.85,6,30,Austin,TX,Ticketfly,45,0,270933,102,708,82,19,0.381217884,0.576093,0.513341,46,108.93,298.85,4.690705474
9533470,2016-08-12T19:00:00-0500,152,Zac Brown Band,Austin360 Amphitheater,63.74,349,90,368,Austin,TX,Ticketmaster,39.5,0,514278,152,1705,1913,68,0.487663299,0.674451,0.777054,14,24.24,309.5,3.188004161
9535022,2016-06-24T18:30:00-0500,103,Slipknot with Marilyn Manson and Of Mice and Men,Austin360 Amphitheater,40.78,380,169,801,Austin,TX,Ticketmaster,30,0,1012485,103,7784,2866,71,0.282707669,0.824148,0.642841,21,10.78,350,2.377692565
9535310,2016-04-14T21:00:00-0500,32,Dierks Bentley and Kacey Musgraves,ACL Live at The Moody Theater,145.74,350,32,116,Austin,TX,Ticketfly,99,0,407954,32,1630,1950,37,0.461804963,0.67781,0.740536,13,46.74,251,3.844600329
9537501,2016-05-05T20:00:00-0500,53,Sturgill Simpson,ACL Live at The Moody Theater,102.8,400,71,258,Austin,TX,Ticketfly,39.5,0,6140284,53,829,188,14,0.449386287,0.546937,0.578508,12,63.3,360.5,4.147885329
9537502,2016-05-06T20:00:00-0500,54,Sturgill Simpson,ACL Live at The Moody Theater,118.14,350,76,232,Austin,TX,Ticketfly,39.5,0,6140284,54,829,188,14,0.449386287,0.546937,0.578508,12,78.64,310.5,4.364880476
9537650,2016-08-02T18:30:00-0500,142,Rob Zombie with Korn,Austin360 Amphitheater,40.26,368,126,484,Austin,TX,Ticketmaster,25,0,202975,142,5463,1919,99,0.280200711,0.815485,0.620417,23,15.26,343,2.725235026
9540612,2016-05-10T20:30:00-0500,58,Todd Rundgren,ACL Live at The Moody Theater,131.12,109,1,6,Austin,TX,Ticketfly,50,0,591959,58,2452,298,85,0.325503206,0.681822,0.525973,49,81.12,59,4.39592954
9540795,2016-04-28T20:00:00-0500,46,Harry Connick Jr.,ACL Live at The Moody Theater,119.32,492,50,176,Austin,TX,Ticketfly,49,0,186299,46,755,373,54,0.422891635,0.674072,0.673365,39,70.32,443,4.253056253
9352330,2016-08-18T20:00:00-0400,158,Janet Jackson,TD Garden,48.51,5000,322,1119,Boston,MA,Ticketmaster,26,0,410449,158,6823,4132,59,0.360137345,0.795111,0.752127,43,22.51,4974,3.113959655
9403908,2016-04-06T18:00:00-0400,24,Skizzy Mars,Paradise Rock Club,40.65,85,10,52,Boston,MA,Ticketmaster,17,0,4516073,24,352,10,0,0.447225927,0.455172,0.504101,6,23.65,68,3.163363115
9408910,2016-05-28T19:30:00-0400,76,Selena Gomez,TD Garden,61.5,2199,385,1411,Boston,MA,Ticketmaster,37,0,1059348,76,9474,2202,7,0.439947613,0.770825,0.862321,8,24.5,2162,3.198673118
9422598,2016-04-24T19:00:00-0400,42,Robin Trower,Wilbur Theatre,99.65,167.36,10,34,Boston,MA,Ticketmaster,40,0,243623,42,521,31,38,0.383412018,0.61476,0.549685,54,59.65,127.36,4.088494149
9425610,2016-07-20T19:00:00-0400,129,Demi Lovato and Nick Jonas,TD Garden,47.32,1617,268,1030,Boston,MA,Ticketmaster,25.45,0,976211,129,6062,1776,13,0.42707395,0.769929,0.835224,14,21.87,1591.55,3.085115835
